ASCII Trace IXXAT MiniMon V3  Version: 1.1.4.4543;;;;
Date: 15.06.2022;;;;
Start time: 13:15:12;;;;
Stop time: 13:15:46;;;;
Overruns: 0  Errorframes: 0                                          ;;;;
Baudrate: 250 kbit/s;;;;
Time;Identifier (hex);Format;Flags;Data (hex)
00:15:27.252;183;Std;;E5 00 B9 00 FE 00 03 00
00:15:27.253;1AE;Std;;00 00 00 00 00
00:15:27.253;38F;Std;;00 00 01 03
00:15:27.254;4AE;Std;;00 00 00 00 00 00 00 00
00:15:27.254;1AF;Std;;00 00 00 00 00 00 00 00
00:15:27.255;202;Std;;00 00 00 00 D4 30 D4 30
00:15:27.255;283;Std;;01 00 05 00 00 00 00 00
00:15:27.256;2AF;Std;;00 00 00 00 00 00 00 00
00:15:27.256;302;Std;;00 00 CF 18 F4 01 00 00
00:15:27.257;383;Std;;00 00 00 00 00 00 00 00
00:15:27.257;402;Std;;00 00 00 00 00 00 00 00
00:15:27.258;209;Std;;00 00 00 00 D4 30 D4 30
00:15:27.258;309;Std;;00 00 CF 18 2C 01 00 00
00:15:27.259;409;Std;;00 00 00 00 00 00 00 00
00:15:27.259;483;Std;;00 00 00 00 00 00 00 00
00:15:27.260;204;Std;;00 00 00 00 00 00 00 00
00:15:27.260;304;Std;;00 00 00 00 00 00 00 00
00:15:27.261;212;Std;;00 00 00 00 00 00 00 00
00:15:27.261;20F;Std;;00 04 04 04 01 00
00:15:27.262;30F;Std;;43 FC D7 02 DD 36
00:15:27.262;20B;Std;;81 00 00 00
00:15:27.271;70F;Std;;5
00:15:27.272;3AF;Std;;00 00 00 00 00 00 00 00
00:15:27.273;184;Std;;00 00 00 00 00 07 0F 01
00:15:27.275;188;Std;;00 02 00 00 00 02 01 55
00:15:27.282;189;Std;;00 00 00 00 00 00 00 00
00:15:27.283;284;Std;;31 02 E0 27 4A 20 11 00
00:15:27.284;714;Std;;5
00:15:27.285;289;Std;;00 00 00 00 C4 00 C1 00
00:15:27.287;389;Std;;01 00 01 00 4F 50 00 00
00:15:27.289;489;Std;;00 00 FA FF 00 00 22 01
00:15:27.291;18A;Std;;D9 00 A8 00 D7 00 03 00
00:15:27.293;384;Std;;AE 02 F8 01 F5 01 F7 01
00:15:27.293;28A;Std;;07 00 01 00 00 00 00 00
00:15:27.296;38A;Std;;00 00 00 00 00 00 00 00
00:15:27.296;2AE;Std;;00 00 00 00 00 00 00 00
00:15:27.297;3AE;Std;;00 00 00 00 00 00 00 00
00:15:27.298;48A;Std;;00 00 00 00 00 00 00 00
00:15:27.298;701;Std;;5
00:15:27.303;484;Std;;00 00 00 00 00 00 00 00
00:15:27.306;194;Std;;01 00 27 01 26 01 38 01
00:15:27.307;494;Std;;3A 01 4C 01 0D 01 12 01
00:15:27.307;394;Std;;03 00 02 00 07 00 00 00
00:15:27.308;294;Std;;00 00 01 00 00 00 00 00
00:15:27.309;42E;Std;;11 00 00 00 C0 78 00 0C
00:15:27.310;52E;Std;;00 00 00 00 67 BD 2D 00
00:15:27.312;1AD;Std;;0C 00 01 01 05 01 01 00
00:15:27.312;185;Std;;FD B3 49 F0 01 03 BB 33
00:15:27.315;24B;Std;;00 00 00 00 00 00 00 00
00:15:27.316;24A;Std;;00 00 00 00 00 00 00 00
00:15:27.317;24C;Std;;00 00 00 00 00 00 00 00
00:15:27.323;285;Std;;01 00 90 42 81 00 00 01
00:15:27.331;2AD;Std;;00 00 00 00 00 00 00 00
00:15:27.332;3AD;Std;;00 00 00 00 00 00 00 00
00:15:27.333;385;Std;;00 00 00 00 00 00 00 00
00:15:27.343;485;Std;;FA 01 FA 01 CE 02 00 00
00:15:27.345;80;Std;;
