ASCII Trace IXXAT MiniMon V3  Version: 1.1.4.4543
Date: 15.06.2022
Start time: 13:46:20
Stop time: 13:46:35
Overruns: 0  Errorframes: 0                                          
Baudrate: 250 kbit/s
"Time";"Identifier (hex)";"Format";"Flags";"Data (hex)"
"00:46:35.118";"3AF";"Std";"";"00 00 00 00 00 00 00 00"
"00:46:35.132";"18F";"Std";"";"00 20 05 00"
"00:46:35.132";"48F";"Std";"";"01 00 00 00 00 00"
"00:46:35.135";"72D";"Std";"";"05"
"00:46:35.136";"2AD";"Std";"";"00 00 00 00 00 00 00 00"
"00:46:35.137";"3AD";"Std";"";"00 00 00 00 00 00 00 00"
"00:46:35.137";"4AD";"Std";"";"20 00 00 00 00 00 00 00"
"00:46:35.138";"4AE";"Std";"";"00 00 00 00 00 00 00 00"
"00:46:35.155";"188";"Std";"";"00 02 00 00 00 02 01 5B"
"00:46:35.156";"1AE";"Std";"";"00 00 00 00 00"
"00:46:35.157";"2AE";"Std";"";"00 00 00 00 00 00 00 00"
"00:46:35.157";"22E";"Std";"";"00 00 FF FF 00 07 07 00"
"00:46:35.158";"3AE";"Std";"";"00 00 00 00 00 00 00 00"
"00:46:35.158";"42E";"Std";"";"11 00 00 00 C0 A0 00 0C"
"00:46:35.159";"52E";"Std";"";"00 00 00 00 67 AD 2D 00"
"00:46:35.159";"702";"Std";"";"05"
"00:46:35.162";"182";"Std";"";"00 00 00 00 00 00 00 00"
"00:46:35.163";"24B";"Std";"";"00 00 00 00 00 00 00 00"
"00:46:35.164";"282";"Std";"";"00 00 00 00 DC 00 D8 00"
"00:46:35.164";"24A";"Std";"";"00 00 00 00 00 00 00 00"
"00:46:35.165";"24C";"Std";"";"00 00 00 00 00 00 00 00"
"00:46:35.166";"382";"Std";"";"01 00 01 00 4F 50 00 00"
"00:46:35.168";"482";"Std";"";"00 00 FC FF 00 00 1C 01"
"00:46:35.171";"183";"Std";"";"E7 00 BA 00 FC 00 03 00"
"00:46:35.173";"283";"Std";"";"01 00 05 00 00 00 00 00"
"00:46:35.175";"383";"Std";"";"00 00 00 00 00 00 00 00"
"00:46:35.177";"483";"Std";"";"00 00 00 00 00 00 00 00"
"00:46:35.181";"1AD";"Std";"";"0C 00 01 01 05 01 01 00"
"00:46:35.196";"80";"Std";"";""
