ASCII Trace IXXAT MiniMon V3  Version: 1.1.4.4543;;;;;
Date: 15.06.2022;;;;;
Start time: 13:05:12;;;;;
Stop time: 13:05:48;;;;;
Overruns: 0  Errorframes: 0                                          ;;;;;
Baudrate: 250 kbit/s;;;;;
Time;Identifier (hex);Format;Flags;Data (hex);
00:05:26.948;285;Std;;01 00 90 42 81 00 00 01;
00:05:26.955;1AE;Std;;00 00 00 00 00;
00:05:26.956;2AE;Std;;00 00 00 00 00 00 00 00;
00:05:26.956;3AE;Std;;00 00 00 00 00 00 00 00;
00:05:26.957;18F;Std;;00 20 05 00;
00:05:26.958;385;Std;;00 00 00 00 00 00 00 00;
00:05:26.959;42E;Std;;11 00 00 00 C0 78 00 0D;
00:05:26.959;48F;Std;;01 00 00 00 00 00;
00:05:26.964;188;Std;;00 02 00 00 00 02 01 25;
00:05:26.965;24B;Std;;00 00 00 00 00 00 00 00;
00:05:26.965;24A;Std;;00 00 00 00 00 00 00 00;
00:05:26.966;24C;Std;;00 00 00 00 00 00 00 00;
00:05:26.968;485;Std;;FA 01 FA 01 E7 02 00 00;
00:05:26.970;182;Std;;00 00 00 00 00 00 00 00;
00:05:26.972;282;Std;;00 00 00 00 DC 00 D9 00;
00:05:26.975;382;Std;;01 00 01 00 4F 50 00 00;
00:05:26.976;2AF;Std;;00 00 00 00 00 00 00 00;
00:05:26.977;3AF;Std;;00 00 00 00 00 00 00 00;
00:05:26.977;482;Std;;00 00 FD FF 00 00 17 01;
00:05:26.979;183;Std;;E4 00 B9 00 FF 00 03 00;
00:05:26.981;283;Std;;01 00 05 00 00 00 00 00;
00:05:26.983;383;Std;;00 00 00 00 00 00 00 00;
00:05:26.986;483;Std;;00 00 00 00 00 00 00 00;
00:05:26.997;80;Std;;;
00:05:26.998;184;Std;;00 00 00 00 00 07 0F 01;
00:05:27.000;18B;Std;;01 00 00 00;
00:05:27.000;28B;Std;;24 00 F6 FF 12 00 5D 00;
00:05:27.001;29B;Std;;C2 FF C0 FF C0 FF BD FF;
00:05:27.001;1FB;Std;;00 00 05 05 05 05 05 05;
00:05:27.006;202;Std;;00 00 00 00 D4 30 D4 30;
00:05:27.007;302;Std;;00 00 CF 18 F4 01 00 00;
00:05:27.008;402;Std;;00 00 00 00 00 00 00 00;
00:05:27.008;209;Std;;00 00 00 00 D4 30 D4 30;
00:05:27.009;284;Std;;31 02 E0 27 4A 20 11 00;
00:05:27.009;309;Std;;00 00 CF 18 2C 01 00 00;
00:05:27.010;409;Std;;00 00 00 00 00 00 00 00;
00:05:27.010;204;Std;;00 00 00 00 00 00 00 00;
00:05:27.011;189;Std;;00 00 00 00 00 00 00 00;
00:05:27.011;304;Std;;00 00 00 00 00 00 00 00;
00:05:27.012;20F;Std;;00 04 04 04 01 00;
00:05:27.012;20B;Std;;81 00 00 00;
00:05:27.012;22E;Std;;00 00 00 00 00 07 07 00;
00:05:27.013;289;Std;;00 00 00 00 C4 00 C1 00;
00:05:27.013;214;Std;;02 00 00 00 00 00 00 00;
00:05:27.014;314;Std;;00 00 00 00 00 00 00 00;
00:05:27.015;389;Std;;01 00 01 00 4F 50 00 00;
00:05:27.017;4AE;Std;;00 00 00 00 00 00 00 00;
00:05:27.017;1AF;Std;;00 00 00 00 00 00 00 00;
00:05:27.018;489;Std;;00 00 F9 FF 00 00 22 01;
00:05:27.018;384;Std;;C4 02 F7 01 F5 01 F7 01;
00:05:27.019;18A;Std;;D9 00 A7 00 D7 00 03 00;
00:05:27.021;28A;Std;;07 00 01 00 00 00 00 00;
00:05:27.024;38A;Std;;00 00 00 00 00 00 00 00;
00:05:27.026;48A;Std;;00 00 00 00 00 00 00 00;
00:05:27.028;484;Std;;00 00 00 00 00 00 00 00;
00:05:27.036;1AD;Std;;0C 00 01 01 05 01 01 00;
00:05:27.036;2AD;Std;;00 00 00 00 00 00 00 00;
00:05:27.037;3AD;Std;;00 00 00 00 00 00 00 00;
00:05:27.037;4AD;Std;;20 00 00 00 00 00 00 00;
00:05:27.038;185;Std;;FD B3 49 F0 01 03 BB 33;
00:05:27.048;285;Std;;01 00 90 42 81 00 00 01;
00:05:27.056;1AE;Std;;00 00 00 00 00;
00:05:27.056;2AE;Std;;00 00 00 00 00 00 00 00;
00:05:27.057;3AE;Std;;00 00 00 00 00 00 00 00;
00:05:27.057;18F;Std;;00 20 05 00;
