ASCII Trace IXXAT MiniMon V3  Version: 1.1.4.4543
Date: 15.06.2022
Start time: 13:51:01
Stop time: 13:51:09
Overruns: 0  Errorframes: 0                                          
Baudrate: 250 kbit/s
"Time";"Identifier (hex)";"Format";"Flags";"Data (hex)"
"00:51:16.093";"484";"Std";"";"11 01 10 01 0F 01 0D 01"
"00:51:16.094";"4AD";"Std";"";"20 00 00 00 00 00 00 00"
"00:51:16.095";"3AE";"Std";"";"00 00 00 00 00 00 00 00"
"00:51:16.095";"1AF";"Std";"";"00 00 00 00 00 00 00 00"
"00:51:16.103";"182";"Std";"";"00 00 00 00 00 00 00 00"
"00:51:16.103";"185";"Std";"";"DD B3 49 00 00 03 83 33"
"00:51:16.105";"282";"Std";"";"00 00 00 00 DC 00 D8 00"
"00:51:16.107";"382";"Std";"";"01 00 01 00 4F 50 00 00"
"00:51:16.110";"482";"Std";"";"00 00 FC FF 00 00 1C 01"
"00:51:16.112";"183";"Std";"";"E7 00 BA 00 FB 00 03 00"
"00:51:16.114";"285";"Std";"";"03 03 90 42 81 00 00 01"
"00:51:16.114";"283";"Std";"";"01 00 05 00 00 00 00 00"
"00:51:16.115";"2AD";"Std";"";"00 00 00 00 00 00 00 00"
"00:51:16.115";"1AE";"Std";"";"00 00 00 00 00"
"00:51:16.115";"2AE";"Std";"";"00 00 00 00 00 00 00 00"
"00:51:16.116";"4AE";"Std";"";"00 00 00 00 00 00 00 00"
"00:51:16.116";"383";"Std";"";"00 00 00 00 00 00 00 00"
"00:51:16.118";"483";"Std";"";"00 00 00 00 00 40 00 00"
"00:51:16.120";"80";"Std";"";""
"00:51:16.121";"18B";"Std";"";"01 00 00 00"
"00:51:16.121";"28B";"Std";"";"1F 00 F3 FF 17 00 58 00"
"00:51:16.122";"29B";"Std";"";"C0 FF BD FF C0 FF C0 FF"
"00:51:16.122";"1FB";"Std";"";"00 00 05 05 05 05 05 05"
"00:51:16.124";"385";"Std";"";"00 00 00 00 00 00 00 00"
"00:51:16.129";"18F";"Std";"";"00 20 05 00"
"00:51:16.129";"48F";"Std";"";"01 00 00 00 00 00"
"00:51:16.130";"202";"Std";"";"00 00 00 00 D4 30 D4 30"
"00:51:16.131";"302";"Std";"";"00 00 4F 08 F4 01 00 00"
"00:51:16.131";"402";"Std";"";"00 00 00 00 00 00 00 00"
"00:51:16.132";"209";"Std";"";"00 00 00 00 D4 30 D4 30"
"00:51:16.132";"309";"Std";"";"00 00 4F 08 2C 01 00 00"
"00:51:16.133";"409";"Std";"";"00 00 00 00 00 00 00 00"
"00:51:16.134";"204";"Std";"";"00 00 00 00 00 00 00 00"
"00:51:16.134";"485";"Std";"";"FA 01 FA 01 7D 02 00 00"
"00:51:16.135";"304";"Std";"";"00 00 00 00 00 00 00 00"
"00:51:16.135";"20F";"Std";"";"00 04 04 04 01 00"
"00:51:16.135";"20B";"Std";"";"81 00 00 00"
"00:51:16.138";"189";"Std";"";"00 00 00 00 00 00 00 00"
"00:51:16.140";"486";"Std";"";"38 00 00 00 A0 0A 00 00"
"00:51:16.140";"386";"Std";"";"0A 19 00 AA 80 02 80 02"
"00:51:16.141";"289";"Std";"";"00 00 00 00 C4 00 C1 00"
"00:51:16.143";"389";"Std";"";"01 00 01 00 4F 50 00 00"
"00:51:16.144";"287";"Std";"";"00 00 00 00 00 00 00 00"
"00:51:16.145";"489";"Std";"";"00 00 FA FF 00 00 25 01"
"00:51:16.147";"18A";"Std";"";"D9 00 A9 00 D5 00 03 00"
"00:51:16.149";"28A";"Std";"";"07 00 01 00 00 00 00 00"
"00:51:16.152";"38A";"Std";"";"00 00 00 00 00 00 00 00"
"00:51:16.152";"188";"Std";"";"00 02 00 00 00 02 01 4B"
"00:51:16.154";"48A";"Std";"";"00 00 00 00 00 40 00 00"
"00:51:16.155";"1AD";"Std";"";"0C 00 01 01 05 01 01 00"
"00:51:16.155";"2AF";"Std";"";"00 00 00 00 00 00 00 00"
"00:51:16.156";"3AF";"Std";"";"00 00 00 00 00 00 00 00"
"00:51:16.164";"184";"Std";"";"00 00 00 00 00 00 0F 01"
"00:51:16.174";"284";"Std";"";"31 02 E0 27 4A 20 11 00"
"00:51:16.178";"3AD";"Std";"";"00 00 00 00 00 00 00 00"
"00:51:16.183";"42E";"Std";"";"11 00 00 00 C0 78 00 0A"
"00:51:16.183";"52E";"Std";"";"08 08 00 05 00 00 F0 00"
"00:51:16.184";"384";"Std";"";"14 00 00 00 DF 01 E1 01"
"00:51:16.189";"24B";"Std";"";"00 00 00 00 00 00 00 00"
"00:51:16.190";"286";"Std";"";"7B 96 7A 7B 00 00 0C 00"
